Educ,YEAR,Age_grp,hmort,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,lnMortgage.mean,lnMortgage.sd,lnNrmMortgage.mean,lnNrmMortgage.sd,BASE_YR
NoHS,1995,"(15,20]",Has mortgage debt,44883.55997521535,10,3.2918709821546375,0.05387355106648207,-0.22877151360917916,0.17849630545577386,3.5206424957638167,0.21348338289428925,2.845508220285644,0.2556270536281143,-0.6751342754781728,0.04214367073382497,2019
NoHS,1995,"(20,25]",Has mortgage debt,103427.27931148288,15,3.598388754788809,0.34341300360178284,-0.034714118340485774,0.5432864554289322,3.6331028731292947,0.33699565181669333,3.89214449935624,0.4298093196871468,0.25904162622694504,0.2954422426507765,2019
NoHS,1995,"(25,30]",Has mortgage debt,184516.6894997621,30,3.5104608079659196,0.7590501659760798,-0.005561615334057991,1.0777707506342546,3.5160224232999773,0.6883660541968266,3.4844328382275696,1.2581592923375613,-0.03158958507240827,1.3807557753324098,2019
NoHS,1995,"(30,35]",Has mortgage debt,176885.5076323548,35,3.1957081015093443,1.237701866055259,-0.2629108340234731,0.4829216156598729,3.4586189355328174,0.8466397661365846,3.8415344938428744,1.319377778415838,0.382915558310057,0.883876844240876,2019
NoHS,1995,"(35,40]",Has mortgage debt,303872.6467628869,62,4.59837589104556,1.0065008477164652,0.6158987634116118,1.0203750745229725,3.9824771276339477,0.5728709974233417,4.203840362040229,1.3440812735581003,0.22136323440628186,1.190968068300498,2019
NoHS,1995,"(40,45]",Has mortgage debt,447962.39052859665,66,4.154227933093046,0.859077123579327,0.22288113191818273,0.8632745191080418,3.9313468011748633,0.5284074058258156,3.6322571513400987,1.0734708210879274,-0.2990896498347648,0.8606696738041814,2019
NoHS,1995,"(45,50]",Has mortgage debt,389457.8385069407,55,4.733454687637747,0.7750471106701197,0.5711263009834124,0.7377972937181904,4.162328386654334,0.3885837836561741,3.3460955285381715,1.1121996692732201,-0.8162328581161628,1.2323640546838757,2019
NoHS,1995,"(50,55]",Has mortgage debt,468732.1648370503,75,4.930750467884346,0.879458707471458,0.8271437519158111,0.8762904867518564,4.103606715968535,0.5513213325683419,3.627243394842039,1.1389806177322848,-0.476363321126496,1.2946767269794808,2019
NoHS,1995,"(55,60]",Has mortgage debt,579855.8764533872,91,4.716256287163636,1.0123401953422362,0.6417336282624909,0.8068609056408605,4.074522658901146,0.5441784491370346,3.7805914731731756,1.0357449290562544,-0.29393118572797,1.147993219412639,2019
NoHS,1995,"(60,65]",Has mortgage debt,463200.7054808713,73,4.559493900768629,0.9095493951794895,1.0364157338941526,0.643216363671132,3.5230781668744764,0.9120744550350348,3.1045744163009483,1.342038643702334,-0.418503750573528,0.7107910331331828,2019
NoHS,1995,"(65,70]",Has mortgage debt,573345.2429737368,75,4.443510061838188,1.3227325892387256,0.8442494989465212,0.9787391143900448,3.5992605628916663,0.4756836917102778,3.10571591036658,0.6525047925436342,-0.49354465252508656,0.8403686776679558,2019
NoHS,1995,"(70,75]",Has mortgage debt,366099.8170284148,52,4.934167568599824,0.6984132902169359,1.4851718222103054,0.9721164769561501,3.4489957463895187,0.4831311400728569,3.350360152654033,0.9364175649194367,-0.09863559373548522,0.9074162470497635,2019
NoHS,1995,"(75,80]",Has mortgage debt,127908.39313535481,25,4.0148122833650755,0.9061719586372217,0.7745794336000145,0.5775974078587252,3.240232849765061,0.8776977901659677,3.1478862191841612,1.2192853835369863,-0.09234663058089997,0.5246653760126445,2019
NoHS,1998,"(15,20]",Has mortgage debt,48595.88080377563,5,2.1369455823742722,0.2693137372186973,-1.0374103596218807,0.2693137372186972,3.1743559419961525,0,3.286067852292051,0,0.11171191029589822,0,2019
NoHS,1998,"(20,25]",Has mortgage debt,135219.27094866778,16,2.4490599832654896,0.303144670973054,-0.8099519912929233,0.8360940433501356,3.2590119745584127,0.8270037977498911,3.750076316406,0.11942971911504087,0.49106434184758707,0.8125020251333068,2019
NoHS,1998,"(25,30]",Has mortgage debt,312063.94463861623,40,3.809750021474175,1.0628968037417101,0.19653585243200225,0.9979579958710378,3.613214169042173,0.3441466620806361,3.9991152156285494,0.8660648591265178,0.38590104658637664,0.7248143310114171,2019
NoHS,1998,"(30,35]",Has mortgage debt,158031.22743860268,20,3.0909585997246807,0.9577983983259052,-1.0510378600449835,0.8572117625215246,4.141996459769664,0.14877260261442748,3.5555127070380856,1.2652950119083337,-0.5864837527315784,1.2637040134949495,2019
NoHS,1998,"(35,40]",Has mortgage debt,527493.0611235091,75,4.8995088871880075,0.7109743203394512,0.8766216237857892,0.7989560381893881,4.022887263402218,0.7616815570468454,3.7779559144866566,1.1041587476321375,-0.244931348915562,1.0974350509562272,2019
NoHS,1998,"(40,45]",Has mortgage debt,325446.0387465122,60,3.8384395149653043,1.540519573378939,-0.2617092270712869,1.2588643353307816,4.100148742036591,0.5066506444630654,3.773121866488951,1.0809503890321646,-0.3270268755476401,0.658603298191987,2019
NoHS,1998,"(45,50]",Has mortgage debt,398272.97256588767,60,4.555051542824479,0.26725716113654174,0.4419121333634653,0.6248789846581089,4.113139409461015,0.4916107128809434,3.865412323223419,1.0191485486252008,-0.2477270862375952,1.0845544907548048,2019
NoHS,1998,"(50,55]",Has mortgage debt,355411.8216311848,55,4.7321802216493545,1.1072231958642549,0.6167406268101946,0.919988789183576,4.1154395948391596,0.435752429770528,3.798602325837683,0.747531812292836,-0.31683726900147685,0.6351622157476451,2019
NoHS,1998,"(55,60]",Has mortgage debt,449856.9723372957,72,4.969463320667269,1.002751626893129,0.9690794353130991,0.9752092581860068,4.00038388535417,0.726251713588396,3.5155962568689545,1.392232218189981,-0.48478762848521545,1.4634659430177237,2019
NoHS,1998,"(60,65]",Has mortgage debt,135490.74255229867,25,5.189866345435303,0.6306005178866505,1.2786424081920609,0.964656944223862,3.9112239372432422,0.5003436883578426,2.81806365346972,1.0915716452743496,-1.093160283773522,1.0494276152808049,2019
NoHS,1998,"(65,70]",Has mortgage debt,317484.70157413324,45,4.679219175516083,1.2363779629182987,1.3719124444871853,1.2241436716902379,3.3073067310288975,1.1916529678030634,3.4007192651105473,0.9877246645016476,0.09341253408164943,1.7520924079124907,2019
NoHS,1998,"(70,75]",Has mortgage debt,206155.98017935082,34,4.991218165820737,1.0622724268358097,1.6311833347474547,0.8063786624426976,3.360034831073282,1.0141567254691477,3.9319918118363146,0.8152309646523657,0.571956980763033,0.8453107310422224,2019
NoHS,1998,"(75,80]",Has mortgage debt,109589.33674259315,10,5.2875961413197965,0.5014447181994169,2.2255672996408,0.6171419464264747,3.0620288416789965,0.11760428283932735,2.9846221807392124,0.4157177863297256,-0.07740666093978432,0.4967542440865319,2019
NoHS,2001,"(15,20]",Has mortgage debt,82423.11412662758,10,2.5102206296317755,0.072871075037573,-1.1597740964755365,0.3555051617538788,3.669994726107312,0.29494072614010514,3.4666916649708526,0.28148361717979287,-0.20330306113645988,0.01345710896031201,2019
NoHS,2001,"(20,25]",Has mortgage debt,174501.88647427576,24,3.461240776219478,1.140282046597554,-0.23460074195625,1.1951563126138032,3.695841518175728,0.6409806751755136,3.8044361756171003,0.9296292100629253,0.10859465744137223,0.8469120863537422,2019
NoHS,2001,"(25,30]",Has mortgage debt,292043.95778324653,42,3.457611243870064,0.8206120621741373,-0.09578365751377561,0.7545832186444529,3.55339490138384,0.4853743780441471,4.156932007868692,0.8345660908804519,0.6035371064848521,0.9552671250853286,2019
NoHS,2001,"(30,35]",Has mortgage debt,444306.51879347936,72,3.812072660166233,1.5309479960622476,-0.10355498072598995,1.6396881252722666,3.915627640892223,0.7291656174619214,4.342359976619011,0.9408829746537616,0.4267323357267877,1.1011262162193542,2019
NoHS,2001,"(35,40]",Has mortgage debt,174696.85400144447,33,3.9233585748695723,0.8922152184235813,0.3479929388288053,1.2296916799344177,3.575365636040767,0.6339823468578225,3.742593531186768,1.5953258776375319,0.16722789514600117,1.2836627561061986,2019
NoHS,2001,"(40,45]",Has mortgage debt,216993.32013637785,45,4.253068129783009,1.2811429749777181,0.5902889759462204,1.1358462277196135,3.662779153836789,0.6385395651258343,4.355459451973308,0.4524649282676486,0.6926802981365193,0.6574850379191436,2019
NoHS,2001,"(45,50]",Has mortgage debt,538854.3927335576,90,4.546134183100698,1.2014791797615008,0.4166405591202047,0.9408602254783804,4.129493623980492,0.7201144176186387,4.0547195998777985,0.9630599575430272,-0.07477402410269399,0.9433657362444335,2019
NoHS,2001,"(50,55]",Has mortgage debt,486796.45296291634,81,4.180544245018395,1.101559995078744,0.5273328390402657,1.3339864900526388,3.6532114059781295,1.0271509626915882,2.9749482520476396,1.2408318362446344,-0.6782631539304902,1.4278823618967842,2019
NoHS,2001,"(55,60]",Has mortgage debt,275894.30755048554,45,5.272559298134164,1.3602911146097096,0.8800862804338347,1.1889873648885136,4.392473017700329,0.5531536681318615,3.6741872642068794,0.9758906031912472,-0.718285753493449,1.2713844335233553,2019
NoHS,2001,"(60,65]",Has mortgage debt,539068.9380864049,91,4.836218227148279,1.0456630205843638,1.3645658413068027,0.8083805525347827,3.471652385841477,0.6775228315621675,3.4584073832816054,1.111845723184719,-0.01324500255987148,1.0831044653151225,2019
NoHS,2001,"(65,70]",Has mortgage debt,359039.68297504267,40,4.953179836913815,0.6202331404886876,1.3784985625724087,0.6302755006011926,3.574681274341407,0.9345306060052291,3.443443649570185,0.8560173364659491,-0.13123762477122178,0.7942739028148582,2019
NoHS,2001,"(70,75]",Has mortgage debt,367064.6046088456,48,5.015067562947702,0.9079773220476499,1.705795201106868,0.8263653276892061,3.309272361840834,0.3714598687310663,2.2364784335234624,1.4406372610540323,-1.0727939283173715,1.4586546763473458,2019
NoHS,2001,"(75,80]",Has mortgage debt,187220.7594810841,30,4.108755289871682,0.8757718915982298,1.197927574859168,1.0503947968971798,2.9108277150125135,0.3332937293671127,4.14180942452938,0.3734716808542502,1.2309817095168665,0.1731128814725943,2019
NoHS,2001,"(85,90]",Has mortgage debt,53001.92847015931,5,4.594495810062993,0.42511158609542066,1.4402534575283914,0.614892634565357,3.1542423525346015,0.3819694616759759,4.279600862849232,9.930136612989092e-16,1.1253585103146322,0.3819694616759761,2019
NoHS,2004,"(20,25]",Has mortgage debt,78139.35437650322,10,4.3088348045217355,0.25856344837946377,0.48064630607711706,0.1981894892867693,3.828188498444618,0.06135012055558771,4.543413447154794,0.2416759891000613,0.7152249487101761,0.30243242181958047,2019
NoHS,2004,"(25,30]",Has mortgage debt,326450.34110173734,45,4.1353361223432,1.0608100945684669,0.5184058350654994,1.1152013593468957,3.616930287277701,0.44230517014254417,4.647360167170358,0.4879984183244996,1.030429879892657,0.493861127776908,2019
NoHS,2004,"(30,35]",Has mortgage debt,279606.2685814744,50,4.403135977311403,1.3341747052983384,0.712285461598486,0.7839172469072387,3.690850515712917,0.8653185985499543,4.397874540302563,1.6554060987789847,0.7070240245896462,1.4258058970886578,2019
NoHS,2004,"(35,40]",Has mortgage debt,260635.2993210112,35,4.050433452784803,1.8156763257602975,0.08256437494368343,1.3826907535700326,3.9678690778411196,0.737702814241502,4.496611073248614,0.40650683934036635,0.5287419954074942,0.538187207998048,2019
NoHS,2004,"(40,45]",Has mortgage debt,722757.8474761093,106,4.639295449696457,1.3376970365219554,0.6494409694256081,1.0862904053742741,3.9898544802708487,0.5363260133007904,4.344795642949547,0.9375931332876006,0.354941162678699,0.6317038613296109,2019
NoHS,2004,"(45,50]",Has mortgage debt,407415.69942697586,77,4.038308356406361,1.0832911649861718,0.35282548173055245,0.9982104081800478,3.685482874675808,0.7758039838523345,3.4850254910837926,1.7429046642370396,-0.2004573835920157,1.3326635506341062,2019
NoHS,2004,"(50,55]",Has mortgage debt,310383.23566635617,50,4.05825961066612,1.2913511276636254,0.4800507626696452,0.8544658107090741,3.5782088479964744,0.5491026015373447,3.889428985579995,0.9603006889302353,0.31122013758352085,1.2460790693123625,2019
NoHS,2004,"(55,60]",Has mortgage debt,241475.08381336057,57,5.060797990774941,1.741644200362612,1.084220653420577,1.115559603607967,3.976577337354364,0.8212176481168935,3.9955712240419263,0.6732355431068264,0.018993886687562488,1.0004473174236501,2019
NoHS,2004,"(60,65]",Has mortgage debt,244698.5946717408,40,5.2087488557120825,1.377459549540908,1.0693295493602288,1.3765664696118607,4.139419306351854,0.6473431430006107,3.2713994087065754,1.906688531332923,-0.8680198976452785,2.1187223937319075,2019
NoHS,2004,"(65,70]",Has mortgage debt,355017.2324285328,45,5.16501806926778,0.5644750480731606,1.709886818215467,0.4508357130898163,3.4551312510523124,0.5622853048722494,3.650615087716575,0.8000949021179994,0.19548383666426217,0.6282306257097198,2019
NoHS,2004,"(70,75]",Has mortgage debt,232724.453814277,31,4.071695479238391,1.5076111920649333,1.0370670548792287,1.6532066482243937,3.034628424359163,0.6593993592036355,3.563164766092846,0.7126601915454632,0.5285363417336828,0.8472738048673761,2019
NoHS,2004,"(75,80]",Has mortgage debt,326976.0196450687,35,4.064676410537207,1.3759894282636653,0.8275673168018685,0.9425876754579017,3.2371090937353384,0.4997226461858295,2.7060405189196817,0.9584241601710275,-0.531068574815657,1.0301676001855948,2019
NoHS,2004,"(80,85]",Has mortgage debt,52457.510508204075,5,3.615111929432004,0.19096232982921788,0.29172397499114894,0.26673440306447355,3.323387954440855,0.09283562943242689,3.1458005628331325,0.31719146133816883,-0.1775873916077228,0.25493031545094585,2019
NoHS,2007,"(20,25]",Has mortgage debt,48042.33958987324,5,3.7813643537520982,0.031965146840945355,0.07707021526685076,0.03196514684094535,3.7042941384852472,0,4.142419329782484,9.930136612989092e-16,0.43812519129723615,6.206335383118183e-17,2019
NoHS,2007,"(25,30]",Has mortgage debt,298426.99126974854,35,4.13780839378862,1.3781787535254824,0.5617350524504261,1.5579722948017662,3.576073341338194,0.6666243832799649,4.05020457962539,1.521950582413425,0.4741312382871961,1.7128354775692418,2019
